o_p,h_p,l_p,c_p
0.21953,0.22235,0.216,0.22162
0.2216,0.22695,0.22112,0.22382
0.22382,0.22495,0.223,0.22361
0.2237,0.22901,0.22339,0.2273
0.2273,0.25,0.2264,0.23898
0.23891,0.24187,0.2347,0.23819
0.23819,0.23903,0.23037,0.23428
0.23421,0.2343,0.22564,0.22976
0.22971,0.23195,0.22577,0.22874
0.22878,0.23781,0.22851,0.23259
0.23263,0.2392,0.2302,0.23692
0.23698,0.24231,0.23526,0.23732
0.23736,0.24024,0.23139,0.2332
0.23318,0.23646,0.23318,0.23425
0.23428,0.23787,0.2325,0.23681
0.23674,0.2446,0.23654,0.24282
0.24289,0.2496,0.24,0.24663
0.24662,0.25,0.23424,0.23681
0.2368,0.241,0.22888,0.23471
0.2347,0.23683,0.23,0.23371
0.23382,0.23798,0.23243,0.23703
0.23706,0.241,0.23657,0.23767
0.2377,0.2396,0.23698,0.23783
0.23783,0.23986,0.23396,0.23746
0.2374,0.23767,0.23078,0.23229
0.23231,0.2375,0.2312,0.23649
0.23658,0.23823,0.23344,0.23367
0.23374,0.23526,0.23369,0.23461
0.23461,0.23495,0.23234,0.23482
0.2348,0.23615,0.23357,0.23559
0.23556,0.23566,0.23251,0.23385
0.23383,0.2364,0.2331,0.23337
0.23347,0.23423,0.22651,0.22792
0.22789,0.23,0.2215,0.22281
0.22273,0.22852,0.22241,0.22584
0.22574,0.22844,0.22569,0.22761
0.2276,0.2335,0.22569,0.23197
0.23196,0.23217,0.22787,0.23069
0.23062,0.23091,0.22767,0.22816
0.22817,0.23,0.22725,0.22875
0.22881,0.22881,0.215,0.22202
0.22202,0.2284,0.22062,0.22326
0.22321,0.22535,0.22108,0.22318
0.22316,0.22398,0.22,0.22079
0.22084,0.22191,0.21632,0.21743
0.21775,0.2292,0.21084,0.22417
0.22416,0.22423,0.22,0.22099
0.22099,0.2219,0.21855,0.22064
0.22064,0.22118,0.21718,0.21804
0.21804,0.22226,0.21788,0.21934
0.21935,0.22349,0.21925,0.22206
0.22211,0.22256,0.2207,0.22133
0.22136,0.22523,0.2212,0.22303
0.22293,0.2245,0.2195,0.22099
0.221,0.22238,0.21862,0.22
0.22001,0.22063,0.215,0.21789
0.21785,0.21999,0.21693,0.21809
0.2181,0.22215,0.21779,0.21913
0.21912,0.21925,0.216,0.21847
0.21849,0.22648,0.21847,0.22102
0.22105,0.22465,0.221,0.2233
0.22329,0.22499,0.22,0.22111
0.22112,0.22463,0.218,0.21975
0.21975,0.22328,0.2171,0.221
0.221,0.2355,0.21913,0.22807
0.22808,0.23852,0.2279,0.2312
0.23117,0.2322,0.22082,0.22533
0.2253,0.22635,0.22265,0.22509
0.22508,0.22654,0.22282,0.225
0.22501,0.2295,0.22476,0.22803
0.22802,0.22819,0.22386,0.22491
0.2249,0.22929,0.2231,0.2254
0.2254,0.22836,0.2225,0.22724
0.22718,0.23382,0.22638,0.23205
0.23206,0.2355,0.23013,0.23126
0.23126,0.23255,0.23019,0.23255
0.23259,0.23998,0.23011,0.23947
0.23939,0.23979,0.23298,0.23365
0.23365,0.26091,0.23248,0.25624
0.25653,0.25669,0.2325,0.23995
0.24001,0.24531,0.22722,0.23504
0.23503,0.23745,0.22258,0.23083
0.23092,0.23283,0.218,0.2279
0.2279,0.23185,0.22425,0.23166
0.23157,0.2319,0.22798,0.22834
0.2283,0.22939,0.2254,0.22939
0.22939,0.23213,0.22762,0.22976
0.22984,0.23499,0.2294,0.23383
0.23387,0.24077,0.22852,0.23207
0.23209,0.23371,0.22765,0.23048
0.23046,0.23262,0.22992,0.23119
0.23128,0.23249,0.22869,0.23148
0.23149,0.23293,0.2295,0.22988
0.22991,0.23288,0.2282,0.23017
0.23021,0.23577,0.22983,0.23505
0.23516,0.23781,0.23172,0.23565
0.23568,0.24,0.2325,0.23654
0.23654,0.23798,0.23368,0.23597
0.236,0.23611,0.23106,0.23313
0.23317,0.23439,0.22694,0.22782
0.22775,0.23059,0.22501,0.22782
0.22782,0.23041,0.22621,0.22799
0.22799,0.23172,0.22695,0.23045
0.23046,0.23126,0.22923,0.22977
0.22977,0.23193,0.22973,0.23186
0.23185,0.2356,0.23179,0.2334
0.23339,0.23566,0.2323,0.23445
0.23439,0.24269,0.2342,0.23811
0.23812,0.23933,0.23405,0.23531
0.23533,0.23849,0.23,0.23127
0.23135,0.23215,0.21774,0.23015
0.23015,0.231,0.22454,0.2271
0.2271,0.22958,0.22312,0.22608
0.22614,0.2293,0.2255,0.22866
0.22859,0.2294,0.22402,0.22514
0.22517,0.22678,0.2215,0.22502
0.22502,0.22691,0.22334,0.22508
0.22506,0.22698,0.22208,0.22315
0.22315,0.22727,0.22315,0.2265
0.22649,0.22685,0.22436,0.22573
0.22577,0.2353,0.22139,0.229
0.22901,0.23021,0.22464,0.22564
0.22565,0.2269,0.22466,0.22548
0.22549,0.22669,0.22262,0.22488
0.22486,0.22925,0.22457,0.22736
0.22739,0.2277,0.22443,0.22525
0.22524,0.22662,0.22455,0.2265
0.22649,0.22979,0.22561,0.22705
0.22704,0.2292,0.22471,0.22647
0.22648,0.22702,0.2244,0.22584
0.22583,0.22768,0.22543,0.22764
0.22764,0.23346,0.22697,0.22751
0.22752,0.23486,0.22685,0.23379
0.23379,0.23443,0.22903,0.23162
0.23159,0.2745,0.23035,0.24924
0.24917,0.25688,0.243,0.24658
0.24658,0.25163,0.23837,0.24081
0.24073,0.24602,0.24,0.24574
0.2458,0.25394,0.24549,0.24869
0.24871,0.25745,0.24607,0.24765
0.2476,0.25071,0.23613,0.24649
0.24655,0.25026,0.24415,0.2474
0.24742,0.2553,0.24596,0.25047
0.25044,0.25187,0.2479,0.24854
0.24856,0.25491,0.2453,0.25054
0.2505,0.264,0.25014,0.26023
0.26027,0.26307,0.25278,0.26109
0.26112,0.27872,0.25903,0.27735
0.27734,0.31889,0.27523,0.29089
0.29097,0.30078,0.27924,0.28471
0.28471,0.29713,0.28355,0.29471
0.29469,0.3085,0.28653,0.28841
0.28844,0.29739,0.27575,0.29386
0.29389,0.30593,0.292,0.30495
0.305,0.3299,0.29654,0.32416
0.32432,0.36232,0.31074,0.35797
0.3584,0.361,0.32833,0.33655
0.3364,0.34564,0.32315,0.32863
0.32857,0.3425,0.32847,0.34146
0.34148,0.34199,0.33018,0.33627
0.33621,0.37,0.33585,0.3523
0.3523,0.36175,0.34079,0.34839
0.3483,0.35429,0.28856,0.32176
0.32183,0.3356,0.30525,0.32675
