o_p,h_p,l_p,c_p
71.401,71.853,71.4,71.853
71.894,72.208,71.4,72.149
72.151,72.56,72.03,72.246
72.318,72.318,72.102,72.102
72.318,72.318,72.01,72.01
72.01,72.23,71.906,71.982
72.198,72.204,71.916,71.919
72.0,72.605,72.0,72.051
72.267,72.318,72.051,72.101
72.318,72.5,72.101,72.197
72.15,72.25,72.15,72.25
72.375,72.385,72.3,72.385
72.3,72.6,72.3,72.3
72.243,72.349,72.1,72.1
72.15,72.7,72.088,72.315
72.315,72.758,72.153,72.2
72.2,72.2,72.0,72.0
72.0,72.142,71.876,71.907
71.907,72.275,71.876,72.275
72.081,72.353,72.081,72.353
72.202,72.437,72.202,72.437
72.4,72.438,72.4,72.438
72.438,72.438,71.4,72.05
72.05,72.05,71.436,71.678
71.678,72.428,71.678,72.42
72.42,72.438,72.13,72.403
72.201,72.403,72.201,72.202
72.202,72.392,71.5,71.717
71.717,72.385,71.717,72.201
72.201,72.3,71.667,72.2
72.2,72.7,72.07,72.07
72.35,72.48,72.071,72.156
72.156,72.601,72.153,72.6
72.6,72.717,72.6,72.71
72.601,72.7,72.584,72.584
72.584,72.71,72.57,72.57
72.57,72.599,72.57,72.57
72.57,72.717,72.51,72.697
72.511,72.8,72.51,72.775
72.519,72.7,72.515,72.519
72.519,72.6,72.37,72.464
72.587,72.59,72.371,72.588
72.588,72.588,72.291,72.4
72.399,72.597,72.25,72.555
72.556,72.599,72.541,72.59
72.589,72.59,72.53,72.588
72.53,72.786,72.52,72.6
72.601,72.783,72.52,72.54
72.771,72.853,72.52,72.56
72.76,72.769,72.493,72.765
72.493,72.8,72.27,72.3
72.307,72.848,72.307,72.75
72.786,72.848,72.502,72.6
72.83,72.842,72.56,72.827
72.824,72.83,72.56,72.815
72.778,72.815,72.509,72.511
72.511,72.799,72.3,72.5
72.69,72.729,72.5,72.513
72.725,72.8,72.5,72.737
72.798,73.0,72.731,72.919
72.737,72.997,72.666,72.704
72.704,72.965,72.701,72.702
72.702,72.959,72.701,72.951
72.951,72.951,72.72,72.942
72.721,72.965,72.702,72.8
72.8,72.9,72.704,72.71
72.711,72.899,72.71,72.713
72.705,72.95,72.7,72.712
72.947,72.95,72.7,72.95
72.716,72.965,72.716,72.95
72.94,72.965,72.763,72.811
72.811,73.0,72.811,72.997
72.998,73.039,72.82,72.98
73.04,73.211,72.7,73.072
73.073,73.126,72.846,73.126
73.126,73.431,73.093,73.093
73.04,73.04,72.858,72.869
72.869,73.142,72.855,73.001
73.001,73.098,72.872,73.098
73.095,73.098,72.866,72.866
72.999,73.1,72.866,73.048
73.0,73.05,72.869,73.048
73.0,73.05,72.867,73.05
72.869,73.05,72.845,72.868
72.858,73.1,72.858,72.86
73.0,73.141,72.902,72.902
73.14,73.141,72.902,73.138
72.953,73.138,72.953,72.955
72.955,73.138,72.95,73.136
72.92,73.128,72.919,72.92
72.92,73.047,72.9,72.902
72.861,72.997,72.831,72.993
72.832,72.997,72.832,72.832
72.989,72.989,72.832,72.85
72.85,72.99,72.85,72.99
72.99,72.99,72.9,72.9
73.048,73.048,73.048,73.048
73.034,73.122,73.029,73.07
73.07,73.07,72.903,72.903
73.109,73.112,73.109,73.112
73.111,73.112,73.111,73.112
72.905,72.905,72.905,72.905
73.108,73.109,72.851,72.851
72.868,72.868,72.679,72.679
72.679,72.679,72.679,72.679
72.679,72.679,72.679,72.679
72.679,72.679,72.555,72.6
72.772,72.772,72.674,72.7
72.772,72.772,72.555,72.556
72.556,72.77,72.556,72.77
72.556,72.666,72.45,72.45
72.453,72.666,72.45,72.666
72.666,72.666,72.649,72.649
72.649,72.649,72.45,72.499
72.499,72.501,72.45,72.45
72.451,72.663,72.45,72.663
72.45,72.663,72.4,72.4
72.616,72.617,72.4,72.616
72.401,72.614,72.384,72.593
72.593,72.615,72.411,72.614
72.416,72.615,72.415,72.422
72.421,72.611,72.371,72.371
72.371,72.526,72.25,72.251
72.251,72.389,72.2,72.3
72.3,72.732,72.2,72.306
72.273,72.49,72.269,72.49
72.489,72.49,72.29,72.291
72.29,72.341,72.196,72.197
72.197,72.25,72.1,72.1
72.181,72.52,72.1,72.218
72.151,72.352,72.15,72.211
72.211,73.064,72.16,72.374
72.316,72.484,72.166,72.45
72.379,72.45,72.221,72.35
72.35,72.401,72.251,72.4
72.337,72.584,72.251,72.39
72.253,72.391,72.251,72.301
72.301,72.534,72.251,72.301
72.537,72.586,72.301,72.554
72.554,72.586,72.31,72.32
72.32,72.612,72.32,72.364
72.371,72.6,72.364,72.472
72.473,72.596,72.473,72.474
72.478,72.59,72.474,72.474
72.474,72.59,72.392,72.392
72.51,72.549,72.2,72.547
72.543,72.548,71.765,71.765
71.76,72.33,71.34,71.85
71.81,72.069,71.595,71.849
71.714,72.284,71.479,71.661
71.661,71.999,71.3,71.4
71.358,72.004,71.358,72.0
72.0,72.495,72.0,72.479
72.479,72.48,72.302,72.47
72.47,72.482,72.195,72.197
72.195,72.54,72.11,72.511
72.498,72.887,72.111,72.43
72.43,72.453,72.142,72.32
72.32,72.504,72.152,72.5
72.539,72.55,72.178,72.232
72.232,72.449,71.75,72.142
72.142,72.716,72.028,72.23
72.533,72.716,72.117,72.59
72.262,72.716,72.262,72.611
72.353,72.609,72.274,72.598
72.596,72.599,72.308,72.335
72.348,72.845,72.23,72.23
72.231,72.564,72.2,72.204
72.498,72.499,72.2,72.488
72.201,72.635,72.2,72.301
72.271,72.714,72.271,72.566
72.313,72.575,72.114,72.114
72.268,72.452,72.006,72.44
72.451,72.453,72.205,72.29
72.211,72.574,72.201,72.437
72.434,72.439,72.268,72.439
72.438,72.539,72.231,72.497
72.496,72.544,72.306,72.5
72.5,72.544,72.2,72.201
72.28,72.45,72.2,72.2
72.2,72.432,72.0,72.021
72.021,72.358,72.01,72.2
72.356,72.356,72.104,72.344
72.344,72.4,72.26,72.4
72.401,72.599,72.303,72.304
72.304,72.517,72.304,72.516
72.516,72.516,72.304,72.304
72.304,72.5,72.2,72.2
72.3,72.453,72.2,72.447
72.251,72.447,72.251,72.261
72.261,72.453,72.261,72.45
72.45,72.45,72.256,72.262
72.35,72.417,72.255,72.256
72.41,72.449,72.255,72.439
72.452,72.452,72.25,72.252
72.451,72.453,72.251,72.252
72.451,72.499,72.251,72.499
72.499,72.499,72.251,72.251
72.251,72.417,72.251,72.416
72.252,72.416,72.251,72.254
72.417,72.484,72.255,72.482
72.256,72.474,72.251,72.474
72.251,72.251,72.25,72.251
72.25,72.251,72.25,72.251
