o_p,h_p,l_p,c_p
71.401,72.56,71.4,72.102
72.318,72.605,71.906,72.051
72.267,72.5,72.051,72.385
72.3,72.758,72.088,72.2
72.2,72.353,71.876,72.353
72.202,72.438,71.4,71.678
71.678,72.438,71.5,71.717
71.717,72.7,71.667,72.156
72.156,72.717,72.153,72.57
72.57,72.8,72.51,72.519
72.519,72.6,72.25,72.555
72.556,72.786,72.52,72.54
72.771,72.853,72.27,72.75
72.786,72.848,72.502,72.511
72.511,73.0,72.3,72.919
72.737,72.997,72.666,72.942
72.721,72.965,72.7,72.712
72.947,73.0,72.7,72.997
72.998,73.431,72.7,73.093
73.04,73.142,72.855,72.866
72.999,73.1,72.845,72.868
72.858,73.141,72.858,72.955
72.955,73.138,72.831,72.993
72.832,72.997,72.832,72.9
73.048,73.122,72.903,73.112
73.111,73.112,72.679,72.679
72.679,72.772,72.555,72.7
72.772,72.772,72.45,72.666
72.666,72.666,72.45,72.663
72.45,72.663,72.384,72.614
72.416,72.615,72.2,72.3
72.3,72.732,72.196,72.197
72.197,73.064,72.1,72.374
72.316,72.584,72.166,72.39
72.253,72.586,72.251,72.32
72.32,72.612,72.32,72.474
72.474,72.59,71.34,71.85
71.81,72.284,71.3,72.0
72.0,72.54,72.0,72.511
72.498,72.887,72.111,72.232
72.232,72.716,71.75,72.611
72.353,72.845,72.2,72.204
72.498,72.714,72.114,72.114
72.268,72.574,72.006,72.439
72.438,72.544,72.2,72.2
72.2,72.432,72.0,72.4
72.401,72.599,72.2,72.2
72.3,72.453,72.2,72.262
72.35,72.453,72.25,72.252
72.451,72.499,72.251,72.254
72.417,72.484,72.25,72.251
72.252,72.396,72.131,72.39
72.138,72.5,72.131,72.17
72.17,72.499,72.01,72.095
72.095,72.2,71.903,72.2
72.2,72.496,71.95,72.262
72.103,72.491,72.101,72.234
72.235,72.5,72.147,72.172
72.159,72.498,72.159,72.495
72.244,72.496,71.96,72.022
72.022,72.475,71.942,72.4
72.228,72.49,72.175,72.488
72.309,72.65,72.257,72.4
72.4,72.5,72.248,72.466
72.467,72.49,72.15,72.151
72.152,72.442,71.801,72.0
71.902,72.277,71.61,72.0
71.784,72.399,71.622,72.049
72.049,72.099,71.76,71.857
71.857,72.3,71.821,72.084
72.084,72.084,71.5,71.881
71.811,71.97,71.505,71.55
71.55,72.0,71.55,72.0
71.999,72.08,71.857,72.061
72.061,72.085,71.818,72.084
72.084,72.18,71.909,71.95
72.14,72.2,71.7,71.849
71.849,72.264,71.5,72.083
72.162,72.298,71.37,72.001
72.001,72.309,71.622,71.78
71.722,72.0,71.5,71.707
71.5,71.741,70.696,71.0
71.0,71.8,70.5,71.276
70.831,72.132,70.821,71.5
71.675,71.7,71.5,71.7
71.7,72.026,71.205,71.55
71.699,71.975,71.372,71.498
71.498,71.975,71.485,71.65
71.651,72.003,71.65,72.003
72.003,72.38,71.98,71.999
71.981,72.29,71.911,71.998
71.998,72.198,71.891,72.005
72.005,72.5,71.905,72.485
72.484,72.487,72.071,72.216
72.216,72.433,72.179,72.197
72.197,72.403,71.734,71.734
71.735,72.115,71.1,71.362
71.295,71.577,71.1,71.347
71.347,71.813,71.3,71.813
71.809,72.1,71.808,72.1
71.861,72.403,71.811,72.403
72.401,72.599,72.221,72.599
72.311,72.512,72.265,72.496
72.495,72.597,72.285,72.5
72.488,72.8,72.279,72.796
72.796,73.0,72.552,72.701
72.702,73.0,72.701,72.92
72.899,72.965,72.7,72.76
72.848,72.99,72.52,72.99
72.99,73.0,72.594,72.99
72.99,73.3,72.95,73.276
72.979,73.167,72.821,72.899
72.826,72.999,72.329,72.499
72.33,72.5,71.942,71.942
72.0,72.417,71.915,72.055
72.014,72.5,71.919,72.121
72.12,72.34,71.863,71.905
71.904,72.06,71.75,71.778
71.778,72.2,71.7,71.996
71.79,72.188,71.73,71.906
71.908,72.128,71.83,71.877
71.878,72.32,71.877,71.908
71.908,72.2,71.8,72.2
72.014,72.331,71.923,72.051
72.013,72.013,71.55,71.568
71.568,72.328,71.568,72.0
71.951,72.44,71.56,71.809
71.81,72.14,71.74,71.997
71.829,72.1,71.607,71.8
71.8,72.0,71.656,71.994
71.994,72.0,71.12,71.444
71.444,71.848,71.1,71.631
71.632,71.989,71.538,71.901
71.902,72.011,71.689,71.97
71.851,72.4,71.806,72.018
72.018,72.395,71.9,72.173
72.014,72.398,71.828,72.0
71.981,72.154,71.782,71.98
71.873,72.1,71.556,71.855
71.767,72.123,71.555,72.123
72.03,72.3,71.805,71.857
71.861,72.325,71.701,71.741
71.934,72.089,71.741,72.089
71.909,72.362,71.712,71.8
71.79,72.248,71.71,71.757
71.742,72.252,71.72,72.155
72.111,72.31,71.953,71.982
72.152,72.155,71.71,71.95
71.95,72.25,71.7,71.912
71.858,72.081,71.692,71.845
71.844,72.24,71.676,72.234
72.234,72.359,72.021,72.359
72.174,72.69,71.942,71.972
72.1,72.599,71.926,72.001
72.0,72.37,72.0,72.25
72.349,72.695,72.241,72.499
72.444,72.683,72.143,72.4
72.4,72.738,72.314,72.6
72.6,72.739,72.493,72.6
72.508,72.794,72.503,72.743
72.743,72.994,72.55,72.977
72.977,73.169,72.899,73.1
72.997,73.1,72.203,72.48
72.559,72.999,72.274,72.976
72.975,72.999,72.678,72.88
72.88,72.925,72.601,72.85
72.92,72.93,72.727,72.93
72.8,73.075,72.777,73.0
73.0,73.199,72.821,73.197
73.009,73.305,72.998,73.128
73.131,73.731,73.13,73.464
73.464,73.617,73.21,73.559
73.5,73.558,73.2,73.389
73.5,73.641,73.211,73.608
73.608,73.608,72.42,72.73
72.73,73.277,72.558,73.18
73.179,73.271,72.557,73.25
73.152,73.276,73.0,73.182
73.001,73.18,72.388,72.7
72.703,73.01,72.301,72.302
72.302,72.867,72.15,72.527
72.533,72.75,72.417,72.5
72.408,72.638,72.205,72.25
72.251,72.911,72.15,72.39
72.39,72.406,72.001,72.355
72.299,72.7,72.085,72.669
72.493,72.95,72.25,72.95
72.95,72.95,72.441,72.897
72.692,73.295,72.671,73.13
73.13,73.298,72.821,72.876
72.999,73.0,72.686,72.799
72.799,72.799,72.372,72.666
72.546,72.87,72.367,72.515
72.515,72.7,71.751,71.751
71.752,72.201,71.5,71.908
72.156,72.157,71.777,71.865
72.106,72.3,71.777,72.094
72.138,72.397,72.094,72.379
72.112,72.595,72.112,72.444
72.425,72.595,72.114,72.12
72.12,72.46,71.946,72.27
72.369,72.454,71.95,72.342
72.173,72.44,72.086,72.304
72.304,72.415,72.055,72.288
72.288,72.415,72.098,72.125
72.131,72.4,72.06,72.399
72.216,72.395,72.068,72.384
72.256,72.423,72.072,72.25
72.249,72.499,72.076,72.488
72.487,72.495,72.259,72.351
72.352,72.498,72.145,72.148
72.31,72.499,72.08,72.2
72.2,72.363,72.059,72.298
72.296,72.298,72.01,72.248
72.248,72.3,72.013,72.296
72.175,72.399,72.082,72.203
72.301,72.399,72.053,72.152
72.154,72.338,71.8,72.107
72.11,72.299,72.068,72.209
72.209,72.397,72.08,72.396
72.396,72.396,72.01,72.394
72.394,72.395,72.077,72.157
72.286,72.37,72.1,72.212
72.213,72.344,72.2,72.295
